transcript_id,SRR24630900,SRR24630901,SRR24630902,SRR24630917,SRR24630918,SRR24630919,SRR24630920,SRR24630954,SRR24630955
CaT2T09g00995-mRNA,0,0,0,0,0,0,0,0,0
CaT2T10g01004-mRNA,5,20,18,3,55,37,25,10,6
CaT2T12g02358-mRNA,35,51,67,64,92,89,192,94,91
CaT2T11g01578-mRNA,28,33,38,93,33,29,29,60,43
CaT2T12g01622-mRNA,0,0,0,0,0,0,0,0,0
CaT2T10g00526-mRNA,0,0,0,0,11,7,0,5,6
CaT2T07g01766-mRNA,0,0,0,0,0,0,0,0,0
CaT2T05g01765-mRNA,79,72,78,167,127,117,104,162,154
CaT2T04g01976-mRNA,0,0,0,0,0,0,0,0,0
CaT2T09g01402-mRNA,103,72,86,87,122,122,110,46,81
CaT2T01g01534-mRNA,29,16,29,20,38,26,0,30,20
CaT2T08g00205-mRNA,8,0,13,10,6,7,12,10,16
CaT2T03g03293-mRNA,72,102,103,158,162,124,126,127,105
CaT2T03g02339-mRNA,4,0,0,7,4,8,6,3,0
CaT2T01g02072-mRNA,148,110,92,80,69,87,97,58,66
CaT2T03g01282-mRNA,778,939,1351,1170,480,439,448,1459,1278
CaT2T10g02543-mRNA,0,0,0,0,0,0,0,0,0
CaT2T08g02309-mRNA,270,293,330,448,547,423,446,409,434
CaT2T01g04426-mRNA,185,175,303,278,318,301,238,231,256
CaT2T03g00443-mRNA,194,272,247,528,557,499,430,501,514
CaT2T06g03500-mRNA,44,67,56,254,109,105,84,195,178
CaT2T06g01896-mRNA,0,0,3,0,0,0,0,0,3
CaT2T10g02075-mRNA,24,50,26,3012,416,255,335,1925,1865
CaT2T08g00585-mRNA,157,128,154,309,321,307,362,270,301
CaT2T03g03271-mRNA,97,118,118,160,112,144,111,67,155
CaT2T12g02537-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g04431-mRNA,26,18,23,12,0,27,24,15,15
CaT2T03g00133-mRNA,1051,1241,1459,2079,2080,1922,1761,1610,1703
CaT2T05g02019-mRNA,72,70,83,128,93,102,127,112,103
CaT2T03g00207-mRNA,0,0,9,23,13,9,29,13,6
CaT2T05g00458-mRNA,0,0,2,0,5,3,5,3,3
CaT2T12g02198-mRNA,211,210,207,210,246,267,211,214,170
CaT2T07g00623-mRNA,0,0,0,0,0,0,0,0,0
CaT2T08g02984-mRNA,25,42,30,523,90,73,97,305,282
CaT2T01g05007-mRNA,183,95,169,224,127,125,127,145,151
CaT2T10g02137-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g05311-mRNA,38,46,57,89,91,61,84,90,103
CaT2T10g00294-mRNA,5,5,0,13,22,7,29,12,10
CaT2T08g01390-mRNA,2,5,3,0,6,0,3,0,0
CaT2T01g01677-mRNA,18,28,25,29,23,16,19,45,44
CaT2T12g01564-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g04982-mRNA,58,65,85,85,133,125,129,48,60
CaT2T08g01492-mRNA,70,60,114,77,83,92,58,89,79
CaT2T07g02988-mRNA,476,430,429,544,413,612,543,557,500
CaT2T06g03416-mRNA,5,2,0,16,11,4,0,0,9
CaT2T09g02400-mRNA,0,0,0,0,0,0,0,0,0
CaT2T08g02593-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g02454-mRNA,0,0,0,0,0,0,0,0,0
CaT2T08g02456-mRNA,60,48,42,705,49,76,63,730,584
CaT2T08g02567-mRNA,0,0,0,0,0,0,0,0,0
CaT2T08g03004-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g05118-mRNA,0,0,3,0,11,2,5,0,5
CaT2T10g02178-mRNA,0,3,0,10,0,0,0,3,4
CaT2T04g00831-mRNA,0,0,0,0,0,0,0,0,0
CaT2T05g03474-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g01257-mRNA,89,95,119,205,178,175,120,176,94
CaT2T05g02044-mRNA,436,682,531,1755,1173,1256,1276,1312,1171
CaT2T12g00164-mRNA,0,2,2,4,2,5,4,4,5
CaT2T03g01250-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g02391-mRNA,0,0,0,0,3,0,0,0,0
CaT2T07g03228-mRNA,169,172,152,220,222,213,300,158,145
CaT2T12g00006-mRNA,0,0,0,0,0,0,0,0,0
CaT2T09g01505-mRNA,33,32,70,92,60,64,39,93,92
CaT2T12g03648-mRNA,3,2,6,0,0,2,0,0,0
CaT2T01g01702-mRNA,295,281,367,312,349,358,316,258,248
CaT2T12g00695-mRNA,406,265,305,288,448,483,369,326,302
CaT2T12g02023-mRNA,0,0,0,0,0,3,0,0,0
CaT2T06g01325-mRNA,272,362,378,402,569,576,395,319,337
CaT2T05g01903-mRNA,0,0,0,0,0,0,0,0,0
CaT2T02g04089-mRNA,0,0,0,0,0,0,0,0,0
CaT2T07g02292-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g00216-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g00662-mRNA,640,795,1014,1303,1285,1217,1345,967,1058
CaT2T04g01455-mRNA,390,500,421,5550,1529,1355,1516,1992,1723
CaT2T02g00321-mRNA,0,0,0,0,0,0,0,0,0
CaT2T06g01481-mRNA,356,394,564,798,722,619,583,580,539
CaT2T03g02558-mRNA,43,88,103,532,176,204,192,329,324
CaT2T11g01674-mRNA,256,305,356,604,489,500,389,491,614
CaT2T04g02659-mRNA,25,23,23,8,27,31,21,13,17
CaT2T04g00819-mRNA,110,105,99,168,153,150,208,139,136
CaT2T01g00872-mRNA,0,6,6,0,0,5,0,0,0
CaT2T11g03487-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g03612-mRNA,568,428,483,160,358,575,419,120,129
CaT2T02g02190-mRNA,10,10,0,14,14,14,15,10,12
CaT2T02g03604-mRNA,330,369,338,178,275,354,343,220,217
CaT2T07g00842-mRNA,19,52,64,52,63,79,60,41,56
CaT2T03g04810-mRNA,0,0,0,0,0,0,0,0,0
CaT2T08g02923-mRNA,0,0,6,57,6,3,0,8,6
CaT2T01g00508-mRNA,0,0,0,0,3,0,4,4,4
CaT2T10g02999-mRNA,0,0,0,0,0,0,0,0,0
CaT2T11g02084-mRNA,81,77,57,107,74,92,118,65,95
CaT2T12g00859-mRNA,0,0,0,0,0,0,0,0,0
CaT2T04g00677-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g04172-mRNA,1,1,2,0,0,2,2,3,1
CaT2T08g00178-mRNA,0,0,0,5,3,0,0,0,5
CaT2T01g00847-mRNA,0,0,0,0,0,0,0,0,0
CaT2T11g01085-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g02464-mRNA,0,0,0,0,0,0,0,0,0
CaT2T12g02355-mRNA,0,0,0,0,0,0,0,0,0
CaT2T02g03200-mRNA,43,49,68,79,87,69,85,50,41
CaT2T03g00751-mRNA,9,12,20,41,35,21,22,10,21
CaT2T06g02549-mRNA,0,0,0,0,0,0,0,0,0
CaT2T06g01773-mRNA,0,0,0,0,0,0,0,0,0
CaT2T04g00271-mRNA,264,557,364,1867,1197,829,1019,1507,1519
CaT2T03g00376-mRNA,11,18,17,106,37,33,51,90,97
CaT2T05g01399-mRNA,0,3,3,7,8,5,10,0,0
CaT2T03g01654-mRNA,113,110,103,124,114,160,80,91,87
CaT2T12g02300-mRNA,0,0,0,0,0,0,0,0,0
CaT2T07g02752-mRNA,87,80,92,2199,1990,1593,1409,3955,3883
CaT2T01g05348-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g05677-mRNA,0,0,0,0,0,0,0,0,0
CaT2T05g00480-mRNA,118,175,196,122,112,147,181,114,114
CaT2T05g03224-mRNA,160,211,310,67,517,321,314,109,38
CaT2T03g04633-mRNA,0,0,0,0,0,0,0,4,0
CaT2T02g00781-mRNA,497,559,550,709,909,922,841,643,613
CaT2T10g00312-mRNA,0,0,0,0,0,0,0,0,4
CaT2T10g00335-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g04683-mRNA,6,34,25,7,34,24,58,11,22
CaT2T03g02883-mRNA,0,4,0,0,0,0,4,0,0
CaT2T12g00849-mRNA,0,0,0,0,0,0,0,0,0
CaT2T06g01869-mRNA,12,8,15,29,0,8,19,8,17
CaT2T12g00116-mRNA,0,4,0,12,2,8,4,7,10
CaT2T09g00668-mRNA,0,0,0,0,0,0,0,0,0
CaT2T08g00251-mRNA,4,0,4,11,7,0,5,8,2
CaT2T06g02752-mRNA,7,6,6,0,15,11,10,8,10
CaT2T12g03768-mRNA,14,22,15,23,27,19,19,18,18
CaT2T02g02053-mRNA,3,5,6,159,7,7,3,222,213
CaT2T03g04707-mRNA,10,0,6,18,12,8,15,11,13
CaT2T07g01609-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g01246-mRNA,0,0,0,0,0,0,0,0,0
CaT2T10g01167-mRNA,31,60,54,104,70,80,96,98,96
CaT2T08g03046-mRNA,156,179,335,117,131,129,95,142,150
CaT2T10g03428-mRNA,0,0,0,0,0,0,0,0,0
CaT2T09g03063-mRNA,135,120,74,140,177,191,154,93,111
CaT2T01g04188-mRNA,63,95,83,144,234,190,190,168,124
CaT2T01g01543-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g03915-mRNA,182,218,251,163,197,256,198,212,176
CaT2T03g01915-mRNA,451,502,459,551,670,661,606,428,466
CaT2T05g02973-mRNA,0,0,0,0,0,0,0,0,0
CaT2T06g01903-mRNA,50,53,62,109,69,114,79,59,80
CaT2T11g02300-mRNA,0,0,0,0,0,0,0,0,0
CaT2T11g01241-mRNA,0,0,0,0,0,0,0,0,0
CaT2T03g03138-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g04127-mRNA,0,0,0,3,0,0,0,0,0
CaT2T09g01268-mRNA,6,0,7,34,6,7,0,15,7
CaT2T06g03245-mRNA,0,0,0,0,0,0,0,0,0
CaT2T08g00463-mRNA,34,38,35,23,44,75,49,24,45
CaT2T09g02501-mRNA,0,8,6,0,7,9,32,13,9
CaT2T10g00217-mRNA,0,0,0,0,0,0,0,0,0
CaT2T01g03350-mRNA,22,29,32,14,17,15,18,29,23
CaT2T01g04557-mRNA,11,11,29,89,78,45,82,118,106
CaT2T05g00591-mRNA,99,155,256,261,231,227,172,269,273
CaT2T04g00491-mRNA,57,44,56,75,44,65,56,57,83
CaT2T11g01619-mRNA,0,0,0,0,0,0,0,0,0
CaT2T09g02333-mRNA,121,128,160,153,131,155,103,69,83
CaT2T06g03671-mRNA,0,0,0,0,0,0,0,0,0
CaT2T06g00917-mRNA,12,9,8,0,12,15,8,2,4
CaT2T01g05266-mRNA,0,0,0,0,0,0,0,0,0
CaT2T05g03030-mRNA,0,0,0,0,0,0,0,0,0
CaT2T11g00187-mRNA,326,255,489,255,307,352,273,212,222
CaT2T07g01663-mRNA,22,8,7,24,29,21,23,24,14
CaT2T06g00518-mRNA,5,7,11,141,6,11,7,38,36
CaT2T07g01412-mRNA,0,0,0,7,0,0,4,0,0
CaT2T01g02520-mRNA,69,72,71,58,65,125,69,65,62
CaT2T05g02004-mRNA,0,0,0,0,0,0,0,0,0
CaT2T05g00178-mRNA,0,0,0,0,0,0,0,0,0
CaT2T07g01541-mRNA,8,7,5,7,17,6,9,15,18
CaT2T02g00003-mRNA,3,0,0,2,15,2,5,0,14
CaT2T01g04948-mRNA,36,38,52,33,47,40,30,49,43
CaT2T01g04620-mRNA,23,22,24,40,28,35,27,21,28
CaT2T11g00121-mRNA,338,416,487,462,479,597,449,433,354
CaT2T10g02140-mRNA,59,37,64,52,82,78,61,43,31
CaT2T12g02200-mRNA,56,75,62,40,70,84,67,49,35
CaT2T02g03476-mRNA,34,36,29,35,36,58,53,22,37
CaT2T11g00602-mRNA,0,0,0,0,0,0,0,0,0
CaT2T06g00999-mRNA,0,0,0,0,0,0,0,0,0
