transcript_id,SRR24630893,SRR24630894,SRR24630896,SRR24630912,SRR24630913,SRR24630914,SRR24630931,SRR24630932,SRR24630933,SRR24630947,SRR24630948,SRR24630949,SRR24630967,SRR24630968,SRR24630969,SRR24630977,SRR24630978,SRR24630979,SRR25031738,SRR25031739,SRR25031740
CaT2T10g00051-mRNA,63,71,52,56,75,71,353,179,327,41,68,66,197,178,192,257,316,239,7,9,7
CaT2T05g01881-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g02984-mRNA,41,23,21,29,42,45,287,279,282,44,32,42,25,20,12,263,345,275,6,9,13
CaT2T03g00702-mRNA,5,0,0,0,3,1,6,9,0,4,3,0,0,4,2,6,7,0,0,0,0
CaT2T02g02365-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T11g01900-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T05g03438-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T11g01268-mRNA,240,353,237,300,332,347,1038,634,1042,186,130,146,107,106,96,864,1059,803,18,35,11
CaT2T11g00064-mRNA,33,23,9,51,25,28,53,18,39,72,82,50,407,391,404,46,23,14,5,3,6
CaT2T06g01473-mRNA,314,275,237,553,509,455,1398,584,1179,412,362,426,652,765,561,1126,1021,1068,41,44,70
CaT2T07g02308-mRNA,52,26,27,33,20,41,155,81,114,0,0,0,44,53,34,130,105,120,0,0,0
CaT2T11g02344-mRNA,0,0,0,0,0,0,16,10,11,0,0,0,0,0,0,2,0,19,0,0,0
CaT2T11g02131-mRNA,20,22,37,20,25,36,272,168,256,52,28,33,81,76,63,118,185,113,6,6,9
CaT2T01g04463-mRNA,73,72,59,110,88,71,523,350,497,87,60,90,150,109,90,496,519,418,13,9,13
CaT2T10g00611-mRNA,1471,1903,2132,1049,920,1306,21513,15825,22169,1322,1134,1142,717,798,691,17587,24395,18518,142,206,201
CaT2T01g02873-mRNA,0,0,0,0,0,0,44,25,19,0,0,0,0,7,0,40,41,31,0,0,0
CaT2T07g00713-mRNA,1574,1417,1588,1958,1830,1654,8729,5341,8660,1915,2085,1681,2728,3085,2590,5914,7774,5864,168,235,218
CaT2T03g00347-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g00797-mRNA,1088,773,683,1386,1278,2039,1218,522,916,635,532,477,873,960,792,944,973,927,21,40,12
CaT2T04g01480-mRNA,148,151,130,112,155,96,1254,714,1061,269,223,235,134,117,93,965,1217,780,21,24,28
CaT2T10g01143-mRNA,21,26,29,15,17,32,66,48,92,26,25,33,11,17,7,94,102,57,0,5,6
CaT2T11g00542-mRNA,4,1,1,6,0,9,9,9,17,0,2,2,4,2,12,14,7,3,0,0,0
CaT2T05g02875-mRNA,2,0,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
CaT2T05g01999-mRNA,0,0,0,8,11,0,14,15,46,40,52,32,68,50,49,13,23,21,0,0,3
CaT2T01g04218-mRNA,564,555,477,1570,1267,1475,3019,1411,2676,686,700,613,5962,5967,5281,2000,1198,877,52,22,47
CaT2T02g03987-mRNA,454,369,342,550,568,615,1199,625,937,258,293,260,902,1068,811,968,931,779,21,27,17
CaT2T12g00055-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g02662-mRNA,8,7,20,9,15,28,10,39,22,6,0,3,3,0,4,19,82,24,0,2,0
CaT2T02g00498-mRNA,22,37,26,30,28,28,208,104,200,57,49,55,71,96,40,151,192,95,0,7,0
CaT2T10g00285-mRNA,316,407,432,141,120,167,3600,2308,3466,327,320,289,129,160,122,3038,3910,3158,39,51,32
CaT2T12g02262-mRNA,65,37,33,124,116,116,445,261,377,39,40,39,220,230,232,319,349,310,6,6,6
CaT2T09g00057-mRNA,19,23,19,25,28,52,41,35,93,9,0,8,8,10,4,60,76,65,0,0,0
CaT2T06g00922-mRNA,539,609,786,538,520,554,5302,3811,5134,849,881,838,1430,1505,1375,4164,5679,3720,127,208,296
CaT2T12g01303-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T06g03701-mRNA,51,40,53,26,45,67,569,338,443,41,30,43,32,45,42,393,589,379,2,5,0
CaT2T04g01050-mRNA,99,75,68,150,198,140,414,308,452,90,122,85,456,453,385,375,443,329,0,8,11
CaT2T01g04407-mRNA,80,118,138,65,50,45,932,672,1073,121,117,112,46,54,44,648,1034,775,26,44,35
CaT2T11g02258-mRNA,0,0,0,0,0,0,13,6,30,0,5,0,0,0,0,18,0,0,0,0,0
CaT2T07g01896-mRNA,81,56,76,45,62,64,318,147,254,38,58,37,55,67,48,270,295,227,7,5,8
CaT2T01g00329-mRNA,88,73,86,88,118,155,365,212,353,90,118,138,213,203,252,175,360,185,6,9,8
CaT2T03g01001-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g00371-mRNA,182,219,176,92,78,117,969,541,807,217,168,128,79,89,75,852,904,630,7,18,7
CaT2T02g00946-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T06g03541-mRNA,573,528,510,561,482,638,4996,3097,4371,666,786,641,1248,1368,1291,3127,4010,3318,154,140,270
CaT2T04g00200-mRNA,2,0,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g02141-mRNA,182,132,107,133,119,136,49,33,67,99,90,84,34,66,39,33,33,43,19,24,29
CaT2T03g02531-mRNA,30,51,18,10,9,18,358,166,252,50,80,51,13,14,17,260,298,194,3,0,5
CaT2T06g03291-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T08g00196-mRNA,95,101,78,120,105,119,553,358,543,54,82,78,66,58,45,590,552,508,9,11,9
CaT2T01g05412-mRNA,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,2,5,0,0,0,0
CaT2T12g00828-mRNA,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0
CaT2T01g04040-mRNA,84,75,93,40,62,39,360,178,325,24,52,45,19,26,31,387,501,286,0,9,0
CaT2T10g00717-mRNA,2992,3201,3755,970,490,2155,11702,7643,12865,880,955,944,306,285,285,9636,13819,10647,599,623,441
CaT2T01g00207-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CaT2T03g02751-mRNA,675,490,454,899,996,847,5017,3224,4824,711,735,771,1418,1535,1328,4147,4765,3554,77,70,83
CaT2T02g03028-mRNA,434,382,317,648,710,659,3012,1669,2296,404,421,397,869,1042,887,2384,2571,1944,27,34,25
CaT2T09g00460-mRNA,242,210,217,169,234,228,1174,637,981,213,218,186,146,137,129,843,1081,783,19,33,21
CaT2T07g00338-mRNA,162,200,213,136,187,209,1034,655,1023,125,148,125,198,156,148,726,1003,855,39,50,46
CaT2T12g01198-mRNA,0,0,0,2,0,3,7,0,5,3,0,0,2,0,3,9,5,8,0,0,0
CaT2T09g01563-mRNA,177,159,136,150,149,139,1461,797,1279,122,147,111,139,113,96,1073,1354,1051,22,41,31
CaT2T07g00187-mRNA,20,25,11,11,17,15,173,76,119,13,32,19,20,19,25,143,95,84,0,0,0
CaT2T10g00316-mRNA,0,0,3,0,0,0,8,0,0,4,4,4,10,11,15,2,6,8,0,0,0
CaT2T01g01395-mRNA,2,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0
CaT2T07g00660-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T09g01435-mRNA,34,17,35,10,0,26,79,41,67,22,36,23,26,14,16,79,50,65,0,0,5
CaT2T10g03017-mRNA,14,8,5,10,8,10,54,34,36,12,0,0,0,7,0,40,54,41,0,0,3
CaT2T04g02121-mRNA,270,215,172,273,247,162,1683,1215,1523,213,214,215,151,210,173,1303,1851,1307,24,43,43
CaT2T11g00168-mRNA,0,0,0,0,0,0,51,63,92,5,9,5,0,0,4,32,49,48,0,6,0
CaT2T03g01722-mRNA,17,12,20,33,45,56,198,130,166,26,22,22,44,28,27,108,125,98,0,0,0
CaT2T12g02113-mRNA,527,410,450,501,419,1038,574,412,521,228,263,229,1339,1508,1242,497,645,430,22,17,17
CaT2T10g02785-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CaT2T06g00634-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T02g02332-mRNA,75,54,90,133,128,83,477,327,346,64,88,90,218,193,162,338,459,368,11,13,10
CaT2T01g00039-mRNA,149,129,97,110,143,152,986,589,804,171,194,151,217,207,227,686,800,608,12,14,10
CaT2T02g03756-mRNA,0,0,0,0,0,0,0,0,0,0,4,0,0,17,0,0,6,0,0,0,0
CaT2T03g04206-mRNA,3454,3097,3091,2881,3469,4573,23524,14343,21236,4355,4445,4245,9121,9567,8468,17942,19860,14269,143,196,93
CaT2T08g00666-mRNA,213,182,181,200,212,201,781,467,686,119,109,115,254,213,288,520,698,499,29,27,53
CaT2T09g03102-mRNA,37,44,31,41,57,48,358,196,282,59,95,54,371,352,325,211,259,222,3,5,3
CaT2T12g03644-mRNA,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0
CaT2T07g00185-mRNA,49,59,53,35,47,51,732,397,626,74,82,64,183,195,162,569,604,378,0,0,0
CaT2T12g01882-mRNA,96,89,120,88,79,132,748,344,670,140,185,114,282,293,223,665,661,507,7,15,8
CaT2T08g01312-mRNA,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1
CaT2T03g00879-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T09g01134-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T07g00530-mRNA,158,152,119,67,127,105,616,425,496,80,94,124,58,35,30,459,608,487,14,19,20
CaT2T01g01007-mRNA,13366,15463,14615,8920,7290,14451,54833,37550,54041,8300,8527,8292,4262,4273,3806,52536,65858,47992,1186,1265,302
CaT2T08g02901-mRNA,0,0,6,3,7,14,16,27,25,0,13,15,0,5,0,22,20,12,0,0,0
CaT2T02g02800-mRNA,109,67,59,57,85,52,1498,697,1400,173,171,167,53,71,42,1384,1204,866,17,12,10
CaT2T01g00667-mRNA,10,5,12,14,8,12,182,112,144,14,14,29,22,39,14,89,127,117,3,6,3
CaT2T09g02596-mRNA,28,34,43,8,6,7,47,73,91,10,11,10,8,9,6,99,87,55,3,3,12
CaT2T04g00389-mRNA,21,0,8,16,13,36,24,18,50,18,12,0,29,21,17,40,32,22,0,0,0
CaT2T01g00703-mRNA,469,277,342,514,632,543,945,446,886,443,441,371,857,987,781,781,725,522,33,14,29
CaT2T04g02840-mRNA,561,449,423,799,1140,900,1980,1166,1731,445,463,433,2356,2450,2166,1289,1573,1250,18,26,13
CaT2T08g02813-mRNA,1820,1949,1860,1130,1255,1665,10993,6216,9667,1735,1781,1689,870,910,735,9727,10422,7433,376,374,333
CaT2T09g02468-mRNA,13,14,4,16,10,6,97,29,67,8,14,8,8,12,5,76,96,76,4,0,3
CaT2T11g01351-mRNA,39,21,35,36,57,66,357,300,428,37,81,32,487,550,443,362,462,325,6,6,5
CaT2T06g00127-mRNA,34,25,53,24,0,17,274,218,313,39,44,23,72,56,63,224,288,209,0,4,0
CaT2T03g02896-mRNA,91,61,65,55,66,81,532,308,451,58,65,41,62,61,57,378,421,401,10,16,11
CaT2T04g01820-mRNA,0,8,6,6,0,6,26,6,12,10,2,2,7,7,3,17,13,0,0,0,0
CaT2T07g00831-mRNA,13,16,14,57,58,39,133,57,80,19,26,24,242,262,195,82,99,100,0,0,0
CaT2T08g00341-mRNA,1106,923,969,1133,1131,1192,5875,3561,5745,902,976,935,1242,1384,1033,4083,5525,4324,151,159,189
CaT2T09g03015-mRNA,0,0,10,0,0,7,64,28,83,3,6,0,0,0,0,71,122,71,0,0,0
CaT2T03g04606-mRNA,0,0,0,3,5,0,0,1,0,0,3,3,8,3,4,3,0,0,0,0,0
CaT2T12g03629-mRNA,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0
CaT2T06g02032-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g00707-mRNA,6,9,12,8,0,10,39,23,32,10,8,10,17,23,18,16,25,34,7,4,0
CaT2T10g01934-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T07g03251-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g02248-mRNA,0,4,0,3,12,3,13,12,23,9,6,6,27,20,7,0,5,3,5,0,2
CaT2T08g00217-mRNA,0,6,0,0,0,0,5,3,22,0,0,0,0,0,0,14,0,3,0,0,0
CaT2T07g02828-mRNA,30,30,29,147,71,63,1136,419,1004,296,463,346,386,413,436,811,361,290,9,0,7
CaT2T03g00259-mRNA,849,962,879,378,354,467,6791,4547,6282,1469,1423,1293,171,155,155,5119,5501,4561,58,33,82
CaT2T02g01913-mRNA,1830,1846,1691,2003,2367,2031,16513,11259,15294,2984,3033,2847,9050,9679,8223,13265,14487,11836,218,230,293
CaT2T03g00797-mRNA,683,595,640,1368,1461,988,3073,2009,2954,581,643,613,3158,3395,2943,2408,2789,2317,76,74,98
CaT2T11g00030-mRNA,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g00530-mRNA,859,911,759,884,888,826,3260,2148,3540,689,797,703,742,783,737,3257,3636,3078,93,92,150
CaT2T03g03160-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T09g02530-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T06g02059-mRNA,510,349,288,989,1039,1080,1238,686,1217,195,204,202,1198,1214,1032,906,1037,784,23,22,29
CaT2T08g02696-mRNA,549,557,505,382,358,372,2441,1984,2757,329,378,479,365,309,293,2346,3158,2288,74,90,57
CaT2T05g01368-mRNA,11,6,10,7,5,15,46,30,56,13,15,10,13,25,15,48,44,38,0,0,0
CaT2T06g00761-mRNA,601,567,613,2417,3542,1607,2477,1340,2085,436,471,523,6944,7367,6172,2014,2095,1588,15,34,38
CaT2T06g02971-mRNA,65,48,50,78,86,52,223,145,196,29,44,45,67,52,38,126,146,111,0,0,4
CaT2T03g03287-mRNA,12,9,6,8,11,11,28,10,11,15,10,9,41,62,43,8,10,28,2,0,0
CaT2T05g01569-mRNA,13,7,8,11,12,14,22,34,31,24,13,15,52,42,22,28,44,27,0,0,0
CaT2T11g00578-mRNA,73,67,73,69,76,115,493,334,402,115,80,126,276,313,197,234,444,353,11,11,19
CaT2T11g01424-mRNA,15,16,17,39,32,18,99,47,105,12,18,21,205,233,178,85,129,133,0,0,0
CaT2T09g02164-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g01524-mRNA,0,0,0,0,0,3,6,2,4,0,0,0,0,0,0,0,7,4,0,0,0
CaT2T10g00505-mRNA,186,178,202,64,91,154,1305,1796,2251,71,65,68,3,4,9,1689,2592,1434,19,29,15
CaT2T02g00301-mRNA,5,15,3,14,16,10,271,67,163,102,106,98,116,153,138,117,72,123,3,0,9
CaT2T10g01929-mRNA,0,3,0,3,0,2,5,2,9,0,0,2,1,2,0,8,10,3,1,0,0
CaT2T08g02694-mRNA,70,97,38,242,234,191,377,204,264,118,87,84,581,491,498,241,271,260,9,13,26
CaT2T12g00646-mRNA,27,34,31,19,15,33,600,357,585,126,133,96,220,157,189,280,458,356,15,30,24
CaT2T06g00477-mRNA,263,325,334,435,473,293,3173,1147,2181,598,705,652,916,1022,908,1646,2553,1899,34,29,23
CaT2T06g03162-mRNA,0,0,0,0,0,0,0,0,0,10,19,8,9,21,5,0,0,0,0,0,0
CaT2T08g01514-mRNA,0,0,0,0,5,3,5,8,4,0,3,0,3,0,5,3,4,3,0,0,0
CaT2T05g00114-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g05606-mRNA,0,0,3,0,6,0,0,0,0,0,0,0,133,141,99,0,0,0,0,0,0
CaT2T05g00173-mRNA,138,145,157,87,107,128,1054,540,1004,75,77,84,93,81,119,623,784,569,13,29,9
CaT2T01g01604-mRNA,173,157,147,188,213,189,1297,895,1201,289,281,276,477,470,373,1129,1415,949,23,33,21
CaT2T07g01606-mRNA,61,46,34,96,102,66,390,240,311,99,103,134,379,433,367,309,317,314,10,6,4
CaT2T06g03483-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T11g01230-mRNA,0,0,0,0,0,0,120,67,100,0,0,0,0,0,0,65,72,66,0,0,0
CaT2T02g00669-mRNA,4076,4238,3809,4100,3678,3786,23598,12393,20624,3742,3924,3655,6057,6343,5558,19441,21543,18102,432,418,212
CaT2T01g01701-mRNA,65,49,44,65,62,82,150,55,139,141,116,87,283,301,282,156,208,88,9,6,0
CaT2T11g02414-mRNA,0,2,1,0,0,0,20,10,14,1,0,0,0,0,0,7,23,9,0,0,0
CaT2T05g01376-mRNA,83,52,56,101,93,118,510,278,328,87,69,79,153,168,142,374,438,300,5,2,15
CaT2T01g04573-mRNA,0,0,0,34,36,12,0,3,0,0,0,0,9,0,0,4,4,0,0,0,0
CaT2T08g00195-mRNA,181,216,203,179,221,205,1384,928,1513,140,94,128,112,105,85,1264,1568,1206,11,19,27
CaT2T08g00117-mRNA,180,131,115,124,189,176,908,452,824,261,253,275,385,360,294,600,778,579,15,19,12
CaT2T06g02039-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g00958-mRNA,21,18,42,27,27,24,300,192,283,18,46,31,51,78,27,218,313,241,5,9,15
CaT2T11g03470-mRNA,38,43,27,365,453,157,726,138,397,194,267,233,2631,2786,2441,253,237,140,7,7,3
CaT2T12g03636-mRNA,1,2,3,2,3,3,0,2,0,0,0,0,0,0,0,0,4,0,0,1,1
CaT2T06g01513-mRNA,98,81,42,145,167,147,916,443,691,230,168,194,411,480,418,549,705,508,23,19,20
CaT2T10g02902-mRNA,10,0,9,6,7,21,31,11,30,0,0,0,0,15,22,37,22,9,0,0,0
CaT2T05g02898-mRNA,3,2,3,7,3,43,0,3,4,0,0,0,31,35,36,2,0,0,0,0,0
CaT2T11g02230-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g04492-mRNA,2,6,5,3,6,16,4,3,5,0,0,0,2,0,3,0,0,0,0,0,0
CaT2T12g02071-mRNA,0,0,23,0,35,39,50,58,78,0,0,6,0,0,0,60,0,0,0,0,0
CaT2T01g04774-mRNA,37,38,24,0,36,33,210,159,177,33,30,39,53,99,57,166,180,125,0,4,5
CaT2T03g00836-mRNA,81,81,83,74,145,154,312,170,379,73,57,49,121,88,115,269,473,289,6,9,6
CaT2T02g02861-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g00198-mRNA,33,38,56,102,115,81,80,146,113,33,22,14,2,1,6,93,166,141,0,0,16
CaT2T07g03226-mRNA,113,94,90,84,125,79,826,479,763,133,131,115,34,16,17,545,806,532,9,18,12
CaT2T12g01827-mRNA,485,408,392,429,564,469,2008,1222,1836,505,524,407,580,611,594,1494,1779,1385,41,47,43
CaT2T06g03435-mRNA,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
CaT2T12g00269-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0
CaT2T08g00154-mRNA,12,22,14,0,3,13,179,70,126,12,29,26,0,0,0,160,136,132,0,4,6
CaT2T05g01156-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T03g00475-mRNA,42,38,23,30,48,41,301,135,234,69,41,56,69,98,78,213,235,189,0,6,0
CaT2T05g01525-mRNA,0,0,0,10,23,2,3,7,0,0,0,0,162,122,107,0,0,0,0,0,0
CaT2T03g04020-mRNA,16,4,20,13,24,30,211,100,177,23,22,17,68,40,62,142,139,128,0,7,10
CaT2T03g02818-mRNA,181,146,153,151,144,138,1464,975,1399,162,147,156,160,150,140,1309,1593,1189,36,27,50
CaT2T06g00064-mRNA,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,0,0
CaT2T01g00301-mRNA,101,147,169,97,104,136,2472,1369,2204,290,277,273,40,42,49,2033,2386,1812,11,31,23
CaT2T02g03797-mRNA,393,377,382,355,407,420,3612,2185,3579,315,354,374,339,297,327,2298,3154,2423,110,102,159
CaT2T10g00650-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T10g02966-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T10g01076-mRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g04023-mRNA,28,26,28,23,26,53,265,104,228,23,28,35,92,125,76,125,180,115,0,6,7
CaT2T01g00102-mRNA,9,10,9,7,13,13,22,27,28,3,1,4,22,17,17,10,29,13,0,0,0
